10532,0
10618,0
10695,0
10544,0
12980,0
12894,0
10744,0
10762,0
10766,0
10696,0
10765,0
10792,0
10697,0
12935,0
11028,0
10671,0
13796,1
13802,1
13854,1
12654,0
13141,0
13716,1
13910,1
11281,0
14341,1
12937,0
10678,0
12930,0
11575,0
10590,0
11132,0
10692,0
10630,0
11172,0
11208,0
13241,1
11051,0
13125,0
11050,0
11256,1
11254,1
11252,0
11486,0
13626,0
11587,1
10858,0
11489,1
13453,0
12604,1
12944,1
11491,0
13278,0
10922,0
10923,1
10920,0
10844,0
10752,0
10859,1
10832,0
10833,1
10842,0
10847,0
10860,0
10928,0
13076,0
10796,0
10820,0
10982,0
10889,0
10856,0
12538,0
11269,0
11267,0
13078,1
10857,0
12201,0
10855,0
10921,0
11268,0
13344,0
10950,0
13573,0
10788,0
13119,1
12674,0
10871,0
11755,0
13572,1
11160,0
11155,0
11175,0
10776,1
10779,0
10740,0
10741,0
10790,0
10791,0
10805,0
10828,0
10838,1
12280,0
10839,1
10841,0
10853,1
10864,0
11316,0
14340,0
11588,1
13044,1
11590,1
13045,1
13046,1
11707,1
11705,1
11701,1
11703,1
11687,0
11685,1
11684,1
11681,1
10875,0
10900,1
10957,0
10907,0
11219,0
10981,0
12978,0
11000,0
11001,0
11003,0
11004,0
11008,0
11211,0
10821,1
11260,1
12571,1
12774,0
13499,1
11049,1
13771,0
12572,0
11053,1
13709,0
11068,0
12575,1
13607,0
11475,0
10878,0
12934,0
10802,0
10966,0
10886,0
12242,1
10990,1
11192,0
12303,1
11377,0
13077,0
10962,0
10953,0
10964,0
12747,0
11006,0
11005,0
11024,0
11026,0
11052,0
11048,0
11047,0
11070,0
10658,0
11142,0
11072,0
11073,0
11143,1
12634,0
13609,1
10918,0
11227,0
13696,0
11737,1
10775,0
11244,0
11264,0
10843,0
13576,1
10932,1
10939,0
10943,0
11154,0
10977,0
10980,0
10987,0
11015,0
11036,0
11113,1
11138,0
11137,0
11157,0
11158,0
11159,1
11168,0
13043,1
13055,1
11646,1
11014,0
10884,0
11241,0
11017,0
11018,0
11021,0
11242,1
11022,0
11023,0
11226,0
11046,0
11056,0
11057,0
11058,0
11061,0
12633,0
11040,0
11180,1
11064,0
11088,0
13599,0
11101,0
10905,1
11116,0
11148,0
11161,0
11089,0
12660,1
11134,0
11197,0
11314,0
11292,0
11246,0
12624,0
12094,0
11115,0
11230,0
11415,0
11179,0
11167,1
11146,0
11083,1
11340,0
11403,0
13627,0
11769,1
13624,1
11902,1
13623,0
12403,0
11510,0
11511,0
11512,0
12164,0
11768,0
13058,1
12203,0
12599,0
11529,0
12181,1
11549,0
12921,0
11571,1
11790,1
11802,0
11576,1
12316,0
12823,1
11600,0
11602,1
11622,1
11484,0
13790,1
13063,1
11487,0
13026,1
11596,0
11550,0
13704,0
11562,0
11531,0
11566,0
11567,0
11599,0
11723,0
11682,0
12984,0
11680,0
11706,1
12983,1
11411,0
13625,1
11709,1
11919,0
12547,1
11884,0
13498,1
11944,0
11485,0
12676,1
11494,0
13896,1
11495,0
11513,0
13622,0
11518,0
11519,0
12810,0
11521,0
12936,0
11598,0
12754,0
11595,0
11593,0
11782,0
11447,0
11432,0
12753,1
12752,1
11591,0
11708,0
11547,0
11546,0
12751,0
11398,0
11400,1
11425,0
12750,0
12749,0
12748,1
