Package,New Name of Package,Package Priority,Developer in Master List,PR Number,Link of PR Raised,PR Status,PR Creation Date,Upgrade Required,Final Upgrade Decision (Y/N),Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded,Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success,Bulk Build Number of SRPMs,Developer from under review sheet,Under Review PR Link,Reviewer,Review Status,PR Origin,TopicBranch,Additional Bulk Build Status
a52dec,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,0.7.4,38.azl3,1,1,a52dec-0.7.4-49.fc41.src.rpm,Default Initialized,Default Initialized,0.7.4,49.fc41,EXISTS_IN_EXT,0.7.4,Y,1,Jyoti,NA,NA,NA,NA,NA,Built
accountsservice,NA,P1,Jyoti,10766,https://github.com/microsoft/azurelinux/pull/10766,MERGED,2024-10-17T13:07:05Z,Y,Y,Failed,0.6.55,4.azl3,1,1,accountsservice-23.13.9-5.fc41.src.rpm,Default Initialized,Default Initialized,23.13.9,5.fc41,EXISTS_IN_EXT,23.13.9,N,0,Jyoti,https://github.com/microsoft/azurelinux/pull/10766,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_accountsservice,Built
acpid,NA,P1,Jyoti,10696,https://github.com/microsoft/azurelinux/pull/10696,MERGED,2024-10-11T08:08:30Z,Y,Y,Built,2.0.32,3.azl3,1,1,acpid-2.0.34-10.fc41.src.rpm,Default Initialized,Default Initialized,2.0.34,10.fc41,EXISTS_IN_EXT,2.0.34,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10696,Suresh,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_acpid,Built
adcli,NA,CP_batch1,Jyoti,NA,NA,NA,NA,N,N,Built,0.9.2,2.azl3,1,1,adcli-0.9.2-7.fc41.src.rpm,Default Initialized,Default Initialized,0.9.2,7.fc41,EXISTS_IN_EXT,0.9.2,N,0,Jyoti,NA,NA,NA,NA,NA,Built
adobe-mappings-cmap,NA,P1,Jyoti,10765,https://github.com/microsoft/azurelinux/pull/10765,MERGED,2024-10-17T12:11:54Z,Y,Y,Built,20171205,8.azl3,1,1,adobe-mappings-cmap-20231115-1.fc41.src.rpm,Default Initialized,Default Initialized,20231115,1.fc41,EXISTS_IN_EXT,20231115,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10765,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_adobe-mappings-cmap,Built
adobe-mappings-pdf,NA,P1,Jyoti,10792,https://github.com/microsoft/azurelinux/pull/10792,MERGED,2024-10-21T07:52:08Z,Y,Y,Built,20180407,6.azl3,1,1,adobe-mappings-pdf-20190401-8.fc41.src.rpm,Default Initialized,Default Initialized,20190401,8.fc41,EXISTS_IN_EXT,20230118,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10792,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_adobe-mappings-pdf,Built
advancecomp,NA,P1,Jagadeesh,10697,https://github.com/microsoft/azurelinux/pull/10697,MERGED,2024-10-11T10:07:18Z,Y,Y,Built,2.5,1.azl3,1,1,advancecomp-2.6-8.fc41.src.rpm,Default Initialized,Default Initialized,2.6,8.fc41,EXISTS_IN_EXT,2.6,N,0,Jagadeesh,NA,Falak,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_advancecomp,Built
alsa-firmware,NA,CP_batch1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.2.4,8.azl3,1,1,alsa-firmware-1.2.4-13.fc41.src.rpm,Default Initialized,Default Initialized,1.2.4,13.fc41,EXISTS_IN_EXT,1.2.4,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
alsa-plugins,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,1.2.7.1,3.azl3,1,1,alsa-plugins-1.2.12-3.fc41.src.rpm,Default Initialized,Default Initialized,1.2.12,3.fc41,EXISTS_IN_EXT,1.2.7.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
amtk,NA,P1,Jagadeesh,12935,https://github.com/microsoft/azurelinux/pull/12935,OPEN,2025-03-14T05:49:58Z,Y,Y,Built,5.0.2,3.azl3,1,1,amtk-5.6.1-7.fc41.src.rpm,Default Initialized,Default Initialized,5.6.1,7.fc41,EXISTS_IN_EXT,5.0.2,Y,1,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_amtk,Built
