Package,Package Priority,Developer in Master List,Link of PR Raised,Upgrade Required, Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded, Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success, Bulk Build Number of SRPMs, Developer from under review sheet, Under Review PR Link, Reviewer, Review Status
SDL,P1,Jyoti,NA,Y,Built,1.2.15,45.azl3,1,1,sdl12-compat-1.2.68-3.fc41.src.rpm,Default Initialized,Default Initialized,1.2.68,3.fc41,EXISTS_IN_EXT,1.2.15,N,0,Jyoti,NA,NA,NA
SDL2,P1,Jyoti,NA,Y,Failed,2.24.0,2.azl3,1,1,SDL2-2.30.9-1.fc41.src.rpm,Default Initialized,Default Initialized,2.30.9,1.fc41,EXISTS_IN_EXT,2.24.0,N,0,Jyoti,NA,NA,NA
SDL_sound,P1,Jyoti,NA,N,Built,1.0.3,32.azl3,1,1,SDL_sound-1.0.3-37.fc41.src.rpm,Default Initialized,Default Initialized,1.0.3,37.fc41,EXISTS_IN_EXT,1.0.3,N,0,Jyoti,NA,NA,NA
SuperLU,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10744,Y,Built,5.2.1,10.azl3,1,1,SuperLU-6.0.1-6.fc41.src.rpm,Default Initialized,Default Initialized,6.0.1,6.fc41,EXISTS_IN_EXT,5.2.1,N,0,Jyoti,NA,Suresh,Dev Approved
Xaw3d,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10762,Y,Built,1.6.3,3.azl3,1,1,Xaw3d-1.6.6-2.fc41.src.rpm,Default Initialized,Default Initialized,1.6.6,2.fc41,EXISTS_IN_EXT,1.6.3,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10762,Bala,Dev Approved
a52dec,P1,Jyoti,NA,N,Built,0.7.4,38.azl3,1,1,a52dec-0.7.4-49.fc41.src.rpm,Default Initialized,Default Initialized,0.7.4,49.fc41,EXISTS_IN_EXT,0.7.4,Y,1,Jyoti,NA,NA,NA
accountsservice,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10766,Y,Failed,0.6.55,4.azl3,1,1,accountsservice-23.13.9-5.fc41.src.rpm,Default Initialized,Default Initialized,23.13.9,5.fc41,EXISTS_IN_EXT,0.6.55,N,0,Jyoti,https://github.com/microsoft/azurelinux/pull/10766,Bala,Dev Approved
acpid,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10696,Y,Built,2.0.32,3.azl3,1,1,acpid-2.0.34-10.fc41.src.rpm,Default Initialized,Default Initialized,2.0.34,10.fc41,EXISTS_IN_EXT,2.0.32,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10696,Suresh,Dev Approved
adcli,P1,Jyoti,NA,N,Built,0.9.2,2.azl3,1,1,adcli-0.9.2-7.fc41.src.rpm,Default Initialized,Default Initialized,0.9.2,7.fc41,EXISTS_IN_EXT,0.9.2,N,0,Jyoti,NA,NA,NA
adobe-mappings-cmap,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10765,Y,Built,20171205,8.azl3,1,1,adobe-mappings-cmap-20231115-1.fc41.src.rpm,Default Initialized,Default Initialized,20231115,1.fc41,EXISTS_IN_EXT,20171205,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10765,Bala,Dev Approved
adobe-mappings-pdf,P1,Jyoti,https://github.com/microsoft/azurelinux/pull/10792,Y,Built,20180407,6.azl3,1,1,adobe-mappings-pdf-20190401-8.fc41.src.rpm,Default Initialized,Default Initialized,20190401,8.fc41,EXISTS_IN_EXT,20180407,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10792,Bala,Dev Approved
advancecomp,P1,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10697,Y,Built,2.5,1.azl3,1,1,advancecomp-2.6-8.fc41.src.rpm,Default Initialized,Default Initialized,2.6,8.fc41,EXISTS_IN_EXT,2.5,N,0,Jagadeesh,NA,Falak,NA
alsa-firmware,P1,Jagadeesh,NA,N,Built,1.2.4,8.azl3,1,1,alsa-firmware-1.2.4-13.fc41.src.rpm,Default Initialized,Default Initialized,1.2.4,13.fc41,EXISTS_IN_EXT,1.2.4,N,0,Jagadeesh,NA,NA,NA
alsa-plugins,P1,Jagadeesh,NA,Y,Built,1.2.7.1,3.azl3,1,1,alsa-plugins-1.2.12-3.fc41.src.rpm,Default Initialized,Default Initialized,1.2.12,3.fc41,EXISTS_IN_EXT,1.2.7.1,N,0,Jagadeesh,NA,NA,NA
amtk,P1,Jagadeesh,NA,Y,Built,5.0.2,3.azl3,1,1,amtk-5.6.1-7.fc41.src.rpm,Default Initialized,Default Initialized,5.6.1,7.fc41,EXISTS_IN_EXT,5.0.2,Y,1,Jagadeesh,NA,NA,NA
amtterm,P1,Jagadeesh,NA,N,Built,1.6,10.azl3,1,1,amtterm-1.6-21.fc41.src.rpm,Default Initialized,Default Initialized,1.6,21.fc41,EXISTS_IN_EXT,1.6,Y,1,Jagadeesh,NA,NA,NA
annobin,P1,Jagadeesh,NA,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,annobin-12.69-1.fc41.src.rpm,Default Initialized,Default Initialized,12.69,1.fc41,MOVED_TO_CORE,Not Found,N,0,Jagadeesh,NA,NA,NA
