S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
,qr-code-generator,Y,1.8.0,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11517,2024-12-18 0:00:00,2024-12-18 0:00:00,,Y,2024-10-23 0:00:00,1.5.0,1.5.0,1.8.0,https://kojipkgs.fedoraproject.org//packages/qr-code-generator/1.8.0/11.fc41/src/qr-code-generator-1.8.0-11.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11517
,re2c,Y,3.1,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11520,2024-12-18 0:00:00,2024-12-18 0:00:00,,Y,2024-10-23 0:00:00,2,2,3.1,https://kojipkgs.fedoraproject.org//packages/re2c/3.1/3.fc41/src/re2c-3.1-3.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11520
,recode,Y,3.7.14,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11514,2024-12-17 0:00:00,2024-12-18 0:00:00,,Y,2024-10-23 0:00:00,3.7.7,3.7.7,3.7.14,https://kojipkgs.fedoraproject.org//packages/recode/3.7.14/6.fc41/src/recode-3.7.14-6.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11514
,rhash,Y,1.4.4,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11537,2024-12-18 0:00:00,2024-12-19 0:00:00,,Y,2024-10-23 0:00:00,1.3.8,1.3.8,1.4.4,https://kojipkgs.fedoraproject.org//packages/rhash/1.4.4/2.fc41/src/rhash-1.4.4-2.fc41.src.rpm,,,License conflicting,
,rubygem-flexmock,Y,3.0.1,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11538,2024-12-19 0:00:00,2024-12-19 0:00:00,,Y,2024-10-23 0:00:00,2.3.6,2.3.6,3.0.1,https://kojipkgs.fedoraproject.org//packages/rubygem-flexmock/3.0.1/1.fc41/src/rubygem-flexmock-3.0.1-1.fc41.src.rpm ,,,,https://github.com/microsoft/azurelinux/pull/11538
,rubygem-liquid,N,NA,P0,Akhila,NA-uptodate,,2024-12-19 0:00:00,2024-12-23 0:00:00,,Y,2024-10-23 0:00:00,5.1.0,5.1.0,4.0.3,https://kojipkgs.fedoraproject.org//packages/rubygem-flexmock/3.0.1/1.fc41/src/rubygem-flexmock-3.0.1-1.fc41.src.rpm,,,upto date w.r.t source,
,rubygem-mongo,N,NA,P0,Akhila,NA-uptodate,,2024-12-23 0:00:00,2024-12-23 0:00:00,,Y,2024-10-23 0:00:00,2.17.0,2.17.0,2.14.0,https://kojipkgs.fedoraproject.org//packages/rubygem-mongo/2.14.0/10.fc41/src/rubygem-mongo-2.14.0-10.fc41.src.rpm,,,upto date w.r.t source,
,rubygem-pkg-config,Y,1.5.7,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11601,2024-12-19 0:00:00,2024-12-20 0:00:00,,Y,2024-10-23 0:00:00,1.4.5,1.4.5,1.5.6,https://kojipkgs.fedoraproject.org//packages/rubygem-pkg-config/1.5.6/3.fc41/src/rubygem-pkg-config-1.5.6-3.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11601
,rubygem-rouge,Y,4.4.0,P0,Akhila,PR Raised,https://github.com/microsoft/azurelinux/pull/11704,2024-12-24 0:00:00,2024-12-24 0:00:00,,Y,2024-10-23 0:00:00,3.26.0,3.26.0,4.4.0,https://kojipkgs.fedoraproject.org//packages/rubygem-rouge/4.4.0/1.fc41/src/rubygem-rouge-4.4.0-1.fc41.src.rpm,,,,https://github.com/microsoft/azurelinux/pull/11704
,,,,,,,,26,1,26,26,26,26,26,26,1,1,3,,
Count,26,26,26,26,26,24,27,27,2,27,27,27,27,27,27,2,2,4,20,0
