S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
101,perl-IO-AIO,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11695,2024-12-23 0:00:00,,2024-12-23 0:00:00,Y,2024-12-16 0:00:00,4.76,4.76,4.81,https://src.fedoraproject.org/rpms/Y,4.81,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11695
102,perl-IPC-Run3,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11698,2024-12-23 0:00:00,,2024-12-23 0:00:00,Y,2024-12-16 0:00:00,0.48,0.048,0.049,https://src.fedoraproject.org/rpms/Y,0.049,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11698
103,perl-Importer,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11710,2024-12-23 0:00:00,,2024-12-24 0:00:00,Y,2024-12-16 0:00:00,0.025,0.025,0.026,https://src.fedoraproject.org/rpms/Y,0.026,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11710
104,perl-LWP-Protocol-https,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11712,2024-12-24 0:00:00,,2024-12-24 0:00:00,Y,2024-12-16 0:00:00,6.10,6.10,6.14,https://src.fedoraproject.org/rpms/Y,6.14,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11712
105,perl-Lingua-EN-Inflect,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11714,2024-12-24 0:00:00,,2024-12-24 0:00:00,Y,2024-12-16 0:00:00,1.904,1.904,1.905,https://src.fedoraproject.org/rpms/Y,1.905,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11714
106,perl-Locale-Codes,Y,https://metacpan.org/release/,P0,Kevin,PR Raised,https://github.com/microsoft/azurelinux/pull/11715,2024-12-24 0:00:00,,2024-12-24 0:00:00,Y,2024-12-16 0:00:00,3.66,3.66,3.81,https://src.fedoraproject.org/rpms/Y,3.81,https://metacpan.org/release/,,https://github.com/microsoft/azurelinux/pull/11715
107,perl-Locale-Maketext-Gettext,Y,http://www.xfce.org/,P0,Kevin,Ongoing,,2024-12-24 0:00:00,,2024-12-24 0:00:00,Y,2024-12-16 0:00:00,1.30,1.30,1.32,https://src.fedoraproject.org/rpms/Y,1.32,https://metacpan.org/release/,,
119,xfconf,Y,https://git.kernel.org/pub/scm/fs/xfs/xfsdump-dev.git/about,P0,Kevin,Not Started,,,,,Y,2024-12-16 0:00:00,4.14.4,4.14.4,4.18.3,https://src.fedoraproject.org/rpms/Y,4.20,http://www.xfce.org/,,
120,xfsdump,Y,http://www.freedesktop.org/Software/xrestop,P0,Kevin,Not Started,,,,,N,2024-12-16 0:00:00,3.1.9,3.1.9,3.2.0,https://src.fedoraproject.org/rpms/Y,3.2.0,https://git.kernel.org/pub/scm/fs/xfs/xfsdump-dev.git/about,,
121,xrestop,Y,https://github.com/thkukuk/ypserv,P0,Kevin,Not Started,,,,,Y,2024-12-16 0:00:00,0.4,0.4,0.6,https://src.fedoraproject.org/rpms/Y,0.5,http://www.freedesktop.org/Software/xrestop,,
