S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link,
88,perl-Module-Build-Tiny,Y,0.051,,Jyoti,PR-Raised,https://github.com/microsoft/azurelinux/pull/11466,,,,y,,,0.039,0.051,,,,,,
89,perl-Module-Install-AuthorRequires,N,0.02,,Jyoti,NA-Uptodate,,,,,Y,08-10-2024,0.02,0.02,0.02,https://kojipkgs.fedoraproject.org//packages/perl-Module-Install-AuthorRequires/0.02/35.fc41/src/perl-Module-Install-AuthorRequires-0.02-35.fc41.src.rpm,,,,,
90,perl-Module-Install-AutoLicense,N,0.1,,Jyoti,NA-Uptodate,,,,,Y,08-10-2024,0.1,0.1,0.1,https://kojipkgs.fedoraproject.org//packages/perl-Module-Install-AutoLicense/0.10/23.fc41/src/perl-Module-Install-AutoLicense-0.10-23.fc41.src.rpm,,,,,
91,perl-Module-Install-ReadmeFromPod,N,0.3,,Jyoti,NA-Uptodate,,,,,,08-10-2024,0.3,0.3,0.3,https://kojipkgs.fedoraproject.org//packages/perl-Module-Install-ReadmeFromPod/0.30/26.fc41/src/perl-Module-Install-ReadmeFromPod-0.30-26.fc41.src.rpm,,,,,
92,perl-Module-Package,,,,Jyoti,,,,,,,,,,,,,,,,
93,perl-Module-Package-Au,,,,Jyoti,,,,,,,,,,,,,,,,
94,perl-Module-Runtime,,,,Jyoti,,,,,,,,,,,,,,,,
95,perl-Module-Signature,Y,0.89,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11406,11-12-2024,11-12-2024,,Y,08-10-2024,0.83,0.83,0.89,,,,,https://github.com/microsoft/azurelinux/pull/11406,
96,perl-Net-DNS,Y,1.47,,Jyoti,,,,,,N,,,,,,,,,,
97,perl-Net-DNS-Resolver-Mock,Y,,,Jyoti,,,,,,N,,,,,,,,,,
