S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link,
23,realmd,Y,0.17.1,,Jyoti,Done-Upgrade,https://github.com/microsoft/azurelinux/pull/10560,26-09-2024,27-09-2024,,Y,02-10-2024,0.16.3,0.16.3,0.17.1,"https://src.fedoraproject.org/rpms/realmd
In Fedora 42 the sources are:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2507067",0.17.1,https://gitlab.freedesktop.org/realmd/realmd/-/releases,Upgrade done,,
25,exempi,Y,2.6.5,,Jyoti,PR Approved,https://github.com/microsoft/azurelinux/pull/10796,18-10-2024,21-10-2024,,Y,08-10-2024,2.6.1,2.6.1,2.6.4,"https://src.fedoraproject.org/rpms/exempi
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2490862",2.6.5,https://gitlab.freedesktop.org/libopenraw/exempi/-/archive/2.6.5/exempi-2.6.5.tar.bz2,,https://github.com/microsoft/azurelinux/pull/10796,
26,exiv2,Y,0.28.3,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10820,21-10-2024,22-10-2024,,Y,08-10-2024,0.28.0,0.28.0,0.28.3,"https://src.fedoraproject.org/rpms/exiv2
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2558117",0.28.3,https://github.com/Exiv2/exiv2/archive/refs/tags/v0.28.3.tar.gz,,https://github.com/microsoft/azurelinux/pull/10820,
27,fabtests,Y,1.22,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10982,07-11-2024,08-11-2024,,Y,08-10-2024,1.12.0,1.12.0,1.18,"https://src.fedoraproject.org/rpms/fabtests
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2490896",1.22,https://github.com/ofiwg/libfabric/releases/download/v1.22.0/fabtests-1.22.0.tar.bz2,,https://github.com/microsoft/azurelinux/pull/10982,
28,facter,Y,4.9.0,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10889,28-10-2024,30-10-2024,,Y,08-10-2024,4.2.13,4.2.13,4.9.0,"https://src.fedoraproject.org/rpms/facter
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2556895",4.9.0.,https://downloads.puppetlabs.com/facter/facter-4.9.0.gem,,,
29,fakechroot,N,NA,,Jyoti,NA-Uptodate,,14-10-2024,14-10-2024,,Y,08-10-2024,2.20.1,2.20.1,2.20.1,"https://src.fedoraproject.org/rpms/fakechroot
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2350142",2.20.1,https://github.com/dex4er/fakechroot/archive/refs/tags/2.20.1.tar.gz,,,
30,fapolicyd,Revisit,Revisit,,Jyoti,Not Started,,,,,,,1.3.2,,,,,,Not Found,,
31,fdk-aac-free,N,,,Jyoti,Not Started,,,,,Y,08-10-2024,2.0.0,2.0.0,2.0.0,"https://src.fedoraproject.org/rpms/fdk-aac-free
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2490987",,https://sourceforge.net/projects/opencore-amr/files/fdk-aac/fdk-aac-2.0.3.tar.gz/download,upstream is not available on mentioned linkin spec. So picking from sourceforge.net,,
32,fence-virt,N,NA,,Jyoti,NA-Uptodate,,14-10-2024,14-10-2024,,N,08-10-2024,1.0.0,1.0.0,,Package is currently unmaintained,1.0.0,https://github.com/ClusterLabs/fence-virt/archive/refs/tags/v1.0.0.tar.gz,,,
33,fetchmail,Y,6.4.39,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10856,28-10-2024,28-10-2024,,Y,08-10-2024,6.4.22,6.4.22,6.4.39,"https://src.fedoraproject.org/rpms/fetchmail
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2517122",6.5.0,https://sourceforge.net/projects/fetchmail/files/branch_6.5/fetchmail-6.5.0.rc2.tar.xz/download,,https://github.com/microsoft/azurelinux/pull/10856,
34,fftw,N,NA,,Jyoti,NA-Uptodate,,14-10-2024,14-10-2024,,Y,08-10-2024,3.3.10,3.3.10,3.3.10,"https://src.fedoraproject.org/rpms/fftw
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491048",3.3.10,https://www.fftw.org/fftw-3.3.10.tar.gz,,,
35,filebench,N,NA,,Jyoti,Not Started,,,,,Y,08-10-2024,1.4.9.1,1.4.9.1,1.4.9.1,"https://src.fedoraproject.org/rpms/filebench
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491067",1.5,https://sourceforge.net/projects/filebench/files/1.5-alpha3/,"As upstream is having alpha version, keeping version as it is",,
36,fipscheck,N,NA,,Jyoti,NA-Uptodate,,14-10-2024,14-10-2024,,N,08-10-2024,1.5.0,1.5.0,,Package is currently unmaintained,1.5.0,https://pagure.io/fipscheck/archive/fipscheck-1.5.0/fipscheck-fipscheck-1.5.0.tar.gz,Moved to SPEC as subpackage libkcapi-fipscheck,,
37,flac,N,NA,,Jyoti,NA-Uptodate,,14-10-2024,14-10-2024,,Y,08-10-2024,1.4.3,1.4.3,1.4.3,"https://src.fedoraproject.org/rpms/flac
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491093",1.4.3,https://ftp.osuosl.org/pub/xiph/releases/flac/flac-1.4.3.tar.xz,,,
38,flite,Y,2.2,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11269,29-11-2024,29-11-2024,,Y,08-10-2024,1.3,1.3,2.2,"https://src.fedoraproject.org/rpms/flite
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491127",2.2,https://github.com/festvox/flite/archive/refs/tags/v2.2.tar.gz,,,
39,fltk,Y,1.3.8,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11267,29-11-2024,29-11-2024,,Y,08-10-2024,1.3.5,1.3.5,1.3.8,"https://src.fedoraproject.org/rpms/fltk
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491143",1.3.9,https://www.fltk.org/pub/fltk/1.3.9/fltk-1.3.9-source.tar.gz,,https://github.com/microsoft/azurelinux/pull/11267,
40,fonts-rpm-macros,N,2.0.5,,Jyoti,Not Started,,,,,Y,08-10-2024,2.0.5,2.0.5,2.0.5,"https://src.fedoraproject.org/rpms/fonts-rpm-macros
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491179



",4.0.2,https://pagure.io/fonts-rpm-macros/archive/4.0.2/fonts-rpm-macros-4.0.2.tar.gz,,,
41,foomatic-db,Y,4.0.20241027,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10857,28-10-2024,28-10-2024,,Y,08-10-2024,not present,20201104,4.0.20230810,"https://src.fedoraproject.org/rpms/foomatic
Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491181


",4.0.20241027,https://www.openprinting.org/download/foomatic/foomatic-db-4.0-20241027.tar.gz,,,
42,freeglut,N,NA,,Jyoti,Not Started,,,,,,,3.2.1,3.4.0,3.6.0,"https://src.fedoraproject.org/rpms/freeglut

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491237



",3.6.0,https://github.com/freeglut/freeglut/releases/download/v3.6.0/freeglut-3.6.0.tar.gz,Moved to SPEC,,
43,freeradius,Y,3.2.5,,Jyoti,Not Started,,,,,N,08-10-2024,3.2.3,3.2.3,3.2.5,"https://src.fedoraproject.org/rpms/freeradius

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491240


",3.2.6,https://github.com/FreeRADIUS/freeradius-server/releases/download/release_3_2_6/freeradius-server-3.2.6.tar.gz,,,
44,freexl,Y,2.0.0,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10855,25-10-1998,25-10-1998,,Y,08-10-2024,1.0.6,1.0.6,2.0.0,"https://src.fedoraproject.org/rpms/freexl

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491247

",2.0.0,https://www.gaia-gis.it/gaia-sins/freexl-2.0.0.tar.gz,,,
45,fros,N,,,Jyoti,Not Started,,,,,Y,08-10-2024,1.1,1.1,1.1,"https://src.fedoraproject.org/rpms/fros

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491265

",,,upstream not found,,
46,fstrm,N,NA,,Jyoti,NA-Uptodate,,15-10-2024,15-10-2024,,Y,08-10-2024,0.6.1,0.6.1,0.6.1,"https://src.fedoraproject.org/rpms/fstrm

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491275
",0.6.1,https://github.com/containers/fuse-overlayfs/archive/refs/tags/v1.14.tar.gz,,,
47,fuse-overlayfs,Y,1.14,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10921,04-11-2024,04-11-2024,,Y,08-10-2024,1.4.0,1.4.0,1.13,"https://src.fedoraproject.org/rpms/fuse-overlayfs

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491291
",1.14,https://github.com/containers/fuse-overlayfs/archive/refs/tags/v1.14.tar.gz,,https://github.com/microsoft/azurelinux/pull/10921,
48,fuse-sshfs,Y,3.7.3,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11268,29-11-2024,29-11-2024,,Y,08-10-2024,3.7.1,3.7.1,3.7.3,"https://src.fedoraproject.org/rpms/fuse-sshfs

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2491300
",3.7.3,https://github.com/libfuse/sshfs/releases/download/sshfs-3.7.3/sshfs-3.7.3.tar.xz,,https://github.com/microsoft/azurelinux/pull/11268,
49,libavc1394,N,NA,,Jyoti,NA-Uptodate,,22-10-2024,22-10-2024,,Y,08-10-2024,0.5.4,0.5.4,0.5.4,"https://src.fedoraproject.org/rpms/libavc1394

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2496368


",0.5.4,https://sourceforge.net/projects/libavc1394/files/libavc1394/libavc1394-0.5.4.tar.gz/download,,,
50,libblockdev,Y,3.2.0,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10962,06-11-2024,07-11-2024,,N,08-10-2024,2.28,2.28,3.2.0,"https://src.fedoraproject.org/rpms/libblockdev

Fedora 42 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2543693


",3.2.0,https://github.com/storaged-project/libblockdev/archive/refs/tags/3.2.0.tar.gz,,,
51,libbsd,Y,0.12.2,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10953,05-11-2024,06-11-2024,,Y,08-10-2024,0.10.0,0.10.0,0.12.2,"https://src.fedoraproject.org/rpms/libbsd

Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496379


",0.12.2,https://libbsd.freedesktop.org/releases/libbsd-0.12.2.tar.xz,,https://github.com/microsoft/azurelinux/pull/10953,
52,libbytesize,Y,2.11,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/10964,07-11-2024,07-11-2024,,Y,08-10-2024,2.5,2.5,2.11,"https://src.fedoraproject.org/rpms/libbytesize

Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2532499


",2.11,https://github.com/storaged-project/libbytesize/archive/refs/tags/2.11.tar.gz,,https://github.com/microsoft/azurelinux/pull/10964,
53,libcanberra,N,NA,,Jyoti,NA-Uptodate,,,,,Y,08-10-2024,0.3,0.3,0.3,"https://src.fedoraproject.org/rpms/libcanberra
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496383


",0.3,http://0pointer.de/lennart/projects/libcanberra/libcanberra-0.30.tar.xz,,,
54,libcdio,Y,2.1.0,,Jyoti,ongoing,,,,,Y,08-10-2024,2.0.0,2.0.0,2.1.0,"https://src.fedoraproject.org/rpms/libcdio
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496398


",2.1.0,https://ftp.gnu.org/gnu/libcdio/libcdio-2.1.0.tar.bz2,,,
55,libcdio-paranoia,Y,10.2+2.0.2,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11006,11-11-2024,11-11-2024,,Y,08-10-2024,10.2+2.0.0,10.2+2.0.0,10.2+2.0.1,https://src.fedoraproject.org/rpms/libcdio-paranoia,10.2+2.0.2,https://ftp.gnu.org/gnu/libcdio/libcdio-paranoia-10.2+2.0.2.tar.bz2,,,
56,libcdr,Y,0.1.7,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11005,11-11-2024,11-11-2024,,Y,08-10-2024,0.1.6,0.1.6,0.1.7,"https://src.fedoraproject.org/rpms/libcdr
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496390

",0.1.7,https://dev-www.libreoffice.org/src/libcdr/libcdr-0.1.7.tar.xz,,,
57,libchewing,Y,0.9.1,,Jyoti,ongoing,,,,,Y,08-10-2024,0.5.1,0.5.1,0.9.0,"https://src.fedoraproject.org/rpms/libchewing
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2524952

",0.9.0,https://github.com/chewing/libchewing/archive/refs/tags/v0.9.0.tar.gz,,,
58,libcli,Y,1.10.7,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11024,12-11-2024,12-11-2024,,N,08-10-2024,1.9.7,1.9.7,1.10.7,"https://src.fedoraproject.org/rpms/libcli
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496405

",1.10.7,https://github.com/dparrish/libcli/archive/refs/tags/V1.10.7.tar.gz,,https://github.com/microsoft/azurelinux/pull/11024,]
59,libcmis,Y,0.6.2,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11026,12-11-2024,12-11-2024,,Y,08-10-2024,0.5.2,0.5.2,0.6.2,"https://src.fedoraproject.org/rpms/libcmis
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496417

",0.6.2,https://github.com/tdf/libcmis/archive/refs/tags/v0.6.2.tar.gz,,https://github.com/microsoft/azurelinux/pull/11026,
60,libcmpiutil,N,NA,,Jyoti,NA-Uptodate,,,,,Y,08-10-2024,0.5.7,0.5.7,0.5.7,"https://src.fedoraproject.org/rpms/libcmpiutil
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496420

",0.5.7,https://download.libvirt.org/CIM/libcmpiutil-0.5.7.tar.gz,,,
61,libcroco,N,NA,,Jyoti,NA-Uptodate,,,,,Y,08-10-2024,0.6.13,0.6.13,,Package is currently unmaintained     https://src.fedoraproject.org/rpms/libcroco,0.6.13,https://gitlab.gnome.org/Archive/libcroco/-/archive/0.6.13/libcroco-0.6.13.tar.gz,"fedora mentioned, No longer maintained upstream",,
62,libdap,Y,3.21.0,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11052,13-11-2024,13-11-2024,,Y,08-10-2024,3.20.5,3.20.5,3.21.0,"https://src.fedoraproject.org/rpms/libdap
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2569992

",3.21.0,https://www.opendap.org/pub/source/libdap-3.21.0-27.tar.gz,,https://github.com/microsoft/azurelinux/pull/11052,
63,libdatrie,Y,0.2.13,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11048,13-11-2024,13-11-2024,,Y,08-10-2024,0.2.9,0.2.9,0.2.13,"https://src.fedoraproject.org/rpms/libdatrie
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496442
",0.2.13,https://linux.thai.net/pub/thailinux/software/libthai/libdatrie-0.2.13.tar.xz,,https://github.com/microsoft/azurelinux/pull/11048,
64,libdazzle,Y,3.44.0,,Jyoti,PR Raised,https://github.com/microsoft/azurelinux/pull/11047,12-11-2024,13-11-2024,,Y,08-10-2024,3.36.0,3.36.0,3.44.0,"https://src.fedoraproject.org/rpms/libdazzle
Fedora 42 Source:
https://koji.fedoraproject.org/koji/buildinfo?buildID=2496436
",3.44.0,https://download.gnome.org/sources/libdazzle/3.44/libdazzle-3.44.0.tar.xz,,https://github.com/microsoft/azurelinux/pull/11047,
