S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
23,apache-commons-pool2,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-11 0:00:00,2024-10-11 0:00:00,2024-10-11 0:00:00,N,2024-10-06 0:00:00,2.4.2,2.4.2,Not found,https://src.fedoraproject.org/rpms/apache-commons-pool2,2.12.0,"https://commons.apache.org/proper/commons-pool/
https://commons.apache.org/pool/download_pool.cgi
https://dlcdn.apache.org//commons/pool/binaries/commons-pool2-2.12.0-bin.tar.gz",This package is showing rpm-UNBUILT in pipeline.,
24,apache-commons-validator,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-11 0:00:00,2024-10-11 0:00:00,2024-10-11 0:00:00,N,2024-10-06 0:00:00,1.5.0,1.5.0,Not found,https://src.fedoraproject.org/rpms/apache-commons-validator,1.9,https://commons.apache.org/proper/commons-validator/,No Source Available from src Fedora,
25,apache-commons-vfs2,N,NA,,Jagadeesh,Ongoing,,2024-10-11 0:00:00,,,N,2024-10-06 0:00:00,2.2,2.2,2.2,"No latest version availabe at src fedora .
Relocating to below upstream.
https://archive.apache.org/dist/commons/vfs/source/",2.2,"https://archive.apache.org/dist/commons/vfs/binaries/
https://commons.apache.org/vfs/","[15-Oct-2024]: Upstream version is same as the 3.0-development branch.
But pipeline shows Failed, need to run manually.",
26,apache-parent,Y,33,,Jagadeesh,PR Raised,https://github.com/microsoft/azurelinux/pull/11281,2024-10-11 0:00:00,2024-12-03 0:00:00,2024-11-29 0:00:00,Y,2024-10-06 0:00:00,21,21,33,"https://src.fedoraproject.org/rpms/apache-parent
Fedora 42 Release
https://koji.fedoraproject.org/koji/buildinfo?buildID=2534104",33,"http://apache.org/
https://repo1.maven.org/maven2/org/apache/apache/","[14-10-2024]: upstream and 3.0-dev source is common with version variation.
[30-dec-2024]:The PR is a leaf PR which builds alone successfully.",https://github.com/microsoft/azurelinux/pull/11281
27,fxload,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,,2008_10_13,2008_10_13,2008_10_13,https://src.fedoraproject.org/rpms/fxload,2008_10_13,"http://linux-hotplug.sourceforge.net/
https://koji.fedoraproject.org/koji/packageinfo?packageID=5291",[14-Oct-2024]: Analysis completed,
28,gavl,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,1.4.0,1.4.0,1.4.0,https://src.fedoraproject.org/rpms/gavl,1.4.0,"http://gmerlin.sourceforge.net/
https://downloads.sourceforge.net/gmerlin/%{name}-%{version}.tar.gz",[14-Oct-2024]: Analysis completed,
29,gconf-editor,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,3.0.1,3.0.1,3.0.1,https://src.fedoraproject.org/rpms/gconf-editor,3.0.1,"http://www.gnome.org
https://download.gnome.org/sources/gconf-editor/
https://download.gnome.org/sources/gconf-editor/3.0/gconf-editor-3.0.1.tar.xz",,
30,gcr,Y,4.3.0,,Jagadeesh,Ongoing,,2024-11-13 0:00:00,,2024-11-11 0:00:00,N,2024-10-06 0:00:00,3.36,3.36,4.3.0,https://src.fedoraproject.org/rpms/gcr,4.3.0,https://download.gnome.org/sources/gcr/,"[14-Nov-2024]: This package having dependency of libsecret-1.
Libsecret package has been allocated to sumit.
Note: I found libsecret only in srcfedora but not libsecret-1.
So, i am waiting for help on this external package.",
31,gdal,Y,3.9.2,,Jagadeesh,Ongoing,,2024-11-13 0:00:00,,2024-11-15 0:00:00,Y,2024-10-06 0:00:00,3.6.3,3.6.3,3.9.2,https://src.fedoraproject.org/rpms/gdal,3.9.3,"http://www.gdal.org
https://github.com/OSGeo/gdal/releases/download/v3.9.3/gdal-3.9.3.tar.gz",,
32,gdisk,[,1.0.10,,Jagadeesh,PR in Review,https://github.com/microsoft/azurelinux/pull/10950,2024-10-14 0:00:00,2024-11-06 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,1.0.9,1.0.9,1.0.10,"https://src.fedoraproject.org/rpms/gdisk
https://koji.fedoraproject.org/koji/buildinfo?buildID=2491492",1.0.10,"https://www.rodsbooks.com/gdisk/
https://sourceforge.net/projects/gptfdisk/files/","[30-Dec-2024]: The PR is a leaf PR which builds alone successfully.
[03-Jan-2024]: approved by Suresh.",https://github.com/microsoft/azurelinux/pull/10950
33,generic-logos,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,18.0.0,18.0.0,18.0.0,https://src.fedoraproject.org/rpms/generic-logos,18.0.0,"https://pagure.io/generic-logos
https://releases.pagure.org/generic-logos/",[14-Oct-2024]: Analysis completed,
34,genwqe-tools,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,4.0.20,4.0.20,4.0.20,https://src.fedoraproject.org/rpms/genwqe-tools,4.0.20,https://github.com/ibm-genwqe/genwqe-user/,[14-Oct-2024]: Analysis completed,
35,geoclue2,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,2.7.0,2.7.0,2.7.0,"https://src.fedoraproject.org/rpms/geoclue2 https://www.freedesktop.org/wiki/Software/GeoClue/
https://gitlab.freedesktop.org/geoclue/geoclue/-/archive/%{version}/geoclue-%{version}.tar.bz2#/%{name}",2.7.2,https://gitlab.freedesktop.org/geoclue/geoclue/-/releases,"[14-Oct-2024]: fedora Latest verson is 2.7.0.
And upstream latest is 2.7.2
here, i observed 2.7.0 version in change log is on Mar 2023.
And we saw minor version latest package as 2.7.2 from upstream.
So, we choose to picup the 2.7.2 version.",
36,geolite2,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-14 0:00:00,2024-10-14 0:00:00,2024-10-14 0:00:00,Y,2024-10-06 0:00:00,20191217,20191217,20191217,"https://src.fedoraproject.org/rpms/geolite2
https://koji.fedoraproject.org/koji/buildinfo?buildID=2491548
https://koji.fedoraproject.org/koji/buildinfo?buildID=2491548",,https://dev.maxmind.com/geoip/geoip2/geolite2/,[14-Oct-2024]: Upstream Not available,
37,geronimo-specs,N,NA,,Jagadeesh,NA-Uptodate,,2024-10-15 0:00:00,2024-10-23 0:00:00,2024-10-23 0:00:00,Y,2024-10-06 0:00:00,1.2,1.2,Not found,No,1.2,https://build-opensuse-org.translate.goog/package/show/openSUSE:Factory/geronimo-specs?_x_tr_sl=hi&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,"geronimo-specs is not there on Fedora sources.
Finding it's upstream source from ""http://geronimo.apache.org"" is also not straightforward.
It appears to be a package defined by Microsoft itself.
The tar.gz is supposed to be created using the SVN tags mentioned in the spec file itself.
https://svn.apache.org/repos/asf/geronimo/specs/tags/
That is why update may not be required.
However, we did find a source repo for this on github:
https://github.com/apache/geronimo-specs.git
From there we can see that newer versions of some sub-packages are available.
But we are not sure whether and how those should be used and whether old ones should also continue to be a part of the source tar.gz.
[23-Oct-2024]: upstream found from the opensuse url as shownin upstream column.",
