S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
121,perl-Razor-Agent,Y,2.86,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11603,2024-12-20 0:00:00,2024-12-20 0:00:00,2024-12-20 0:00:00,N,2024-11-06 0:00:00,2.85,2.85,2.86,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2501947

https://kojipkgs.fedoraproject.org//packages/perl-Razor-Agent/2.86/12.fc41/src/perl-Razor-Agent-2.86-12.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11603
122,perl-Regexp-Pattern-Perl,Y,0.007,P0,Sreenivasulu,PR Raised ,https://github.com/microsoft/azurelinux/pull/11482,2024-12-16 0:00:00,2024-12-16 0:00:00,2024-12-16 0:00:00,Y,2024-11-06 0:00:00,0.006,0.006,0.007,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2501960

https://kojipkgs.fedoraproject.org//packages/perl-Regexp-Pattern-Perl/0.007/6.fc41/src/perl-Regexp-Pattern-Perl-0.007-6.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11482
123,perl-Return-MultiLevel,Y,0.08,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11496,2024-12-17 0:00:00,2024-12-17 0:00:00,2024-12-17 0:00:00,Y,2024-11-06 0:00:00,0.05,0.05,0.08,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2501963

https://kojipkgs.fedoraproject.org//packages/perl-Return-MultiLevel/0.08/9.fc41/src/perl-Return-MultiLevel-0.08-9.fc41.src.rpm
",,,,
124,perl-Role-Tiny,Y,2.002004,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11499,2024-12-17 0:00:00,2024-12-17 0:00:00,2024-12-17 0:00:00,Y,2024-11-06 0:00:00,2.001004,2.001004,2.002004,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2501977

https://kojipkgs.fedoraproject.org//packages/perl-Role-Tiny/2.002004/12.fc41/src/perl-Role-Tiny-2.002004-12.fc41.src.rpm
",,,,
125,perl-SNMP_Session,Y,1.16,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11616,2024-12-20 0:00:00,2024-12-20 0:00:00,2024-12-20 0:00:00,Y,2024-11-06 0:00:00,1.13,1.13,1.16,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2501976

https://kojipkgs.fedoraproject.org//packages/perl-SNMP_Session/1.16/5.fc41/src/perl-SNMP_Session-1.16-5.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11616
126,perl-Scope-Upper,Y,0.34,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11502,2024-12-17 0:00:00,2024-12-17 0:00:00,2024-12-17 0:00:00,Y,2024-11-06 0:00:00,0.32,0.32,0.34,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502020

https://kojipkgs.fedoraproject.org//packages/perl-Scope-Upper/0.34/7.fc41/src/perl-Scope-Upper-0.34-7.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11502
127,perl-String-CRC32,Y,2.100,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11503,2024-12-17 0:00:00,2024-12-17 0:00:00,2024-12-17 0:00:00,Y,2024-11-06 0:00:00,1.8,1.8,2.100,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502084

https://kojipkgs.fedoraproject.org//packages/perl-String-CRC32/2.100/13.fc41/src/perl-String-CRC32-2.100-13.fc41.src.rpm
",,,,
128,perl-Test-EOL,Y,2.02,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11525,2024-12-18 0:00:00,2024-12-18 0:00:00,2024-12-18 0:00:00,Y,2024-11-06 0:00:00,2.00,2.00,2.02,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502261

https://kojipkgs.fedoraproject.org//packages/perl-Test-EOL/2.02/12.fc41/src/perl-Test-EOL-2.02-12.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11525
129,perl-Test-File,Y,1.99.3,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11530,2024-12-19 0:00:00,2024-12-18 0:00:00,2024-12-18 0:00:00,Y,2024-11-06 0:00:00,1.44.3,1.44.3,1.99.3,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502271

https://kojipkgs.fedoraproject.org//packages/perl-Test-File/1.99.3/7.fc41/src/perl-Test-File-1.99.3-7.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11530
130,perl-Test-Harness,Y,3.50,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11558,2024-12-19 0:00:00,2024-12-19 0:00:00,2024-12-19 0:00:00,Y,2024-11-06 0:00:00,3.42,3.42,3.50,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2530327

",,,,https://github.com/microsoft/azurelinux/pull/11558
131,perl-Test-Inter,Y,1.11,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11580,2024-12-19 0:00:00,2024-12-19 0:00:00,2024-12-19 0:00:00,Y,2024-11-06 0:00:00,1.09,1.09,1.11,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502294

https://kojipkgs.fedoraproject.org//packages/perl-Test-Inter/1.11/2.fc41/src/perl-Test-Inter-1.11-2.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11580
132,perl-Test-Manifest,Y,2.024,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11627,2024-12-20 0:00:00,2024-12-20 0:00:00,2024-12-20 0:00:00,Y,2024-11-06 0:00:00,2.021,2.021,2.024,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502314

https://kojipkgs.fedoraproject.org//packages/perl-Test-Manifest/2.024/4.fc41/src/perl-Test-Manifest-2.024-4.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11627
133,perl-Test-Synopsis,Y,0.17,P0,Sreenivasulu,PR Raised,https://github.com/microsoft/azurelinux/pull/11634,2024-12-20 0:00:00,2024-12-20 0:00:00,2024-12-20 0:00:00,Y,2024-11-06 0:00:00,0.16,0.16,0.17,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2502365

https://kojipkgs.fedoraproject.org//packages/perl-Test-Synopsis/0.17/11.fc41/src/perl-Test-Synopsis-0.17-11.fc41.src.rpm
",,,,https://github.com/microsoft/azurelinux/pull/11690
134,python-isort,Y,5.13.2,New P0,Sreenivasulu,,,,,,Y,2025-01-13 0:00:00,4.3.21,4.3.21,"	5.13.2","Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2504873

https://kojipkgs.fedoraproject.org//packages/python-isort/5.13.2/5.fc41/src/python-isort-5.13.2-5.fc41.src.rpm
",,,,
135,python-lazy-object-proxy,Y,1.10.0,New P0,Sreenivasulu,,,,,,Y,2025-01-13 0:00:00,1.4.3,1.4.3,1.10.0,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2505092

https://kojipkgs.fedoraproject.org//packages/python-lazy-object-proxy/1.10.0/5.fc41/src/python-lazy-object-proxy-1.10.0-5.fc41.src.rpm
",,,,
136,python-recommonmark,Y,0.7.1,New P0,Sreenivasulu,,,,,,Y,2025-01-13 0:00:00,0.6.0,0.6.0,0.7.1,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2505945

https://kojipkgs.fedoraproject.org//packages/python-recommonmark/0.7.1/10.git.fc41/src/python-recommonmark-0.7.1-10.git.fc41.src.rpm
",,,,
137,python-requests-toolbelt,Y,1.0.0,New P0,Sreenivasulu,,,,,,Y,2025-01-13 0:00:00,0.9.1,0.9.1,1.0.0,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2505943

https://kojipkgs.fedoraproject.org//packages/python-requests-toolbelt/1.0.0/7.fc41/src/python-requests-toolbelt-1.0.0-7.fc41.src.rpm
",,,,
138,pyusb,Y,1.2.1,New P0,Sreenivasulu,,,,,,Y,2025-01-13 0:00:00,1.0.2,1.0.2,1.2.1,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2506766

https://kojipkgs.fedoraproject.org//packages/pyusb/1.2.1/11.fc41/src/pyusb-1.2.1-11.fc41.src.rpm
",,,,
139,pyaxtr,Y,,New P0,Sreenivasulu,,,,,,,2025-01-13 0:00:00,,,,"Fedora 41 Source:

https://koji.fedoraproject.org/koji/buildinfo?buildID=2504460

https://kojipkgs.fedoraproject.org//packages/python-extras/1.0.0/34.fc41/src/python-extras-1.0.0-34.fc41.src.rpm
",,,,
140,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,
