Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev,Newer ACTION,Newer UPGRADE,Newer BUILD_CHECK_REQD,PR Created Despite a No in Newer Upgrade decision
blosc,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
bogofilter,Kevin,,N,N,N,N,Y,N,,P1,NA,N,Y_Reintroduce,Y,Y,N
bolt,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
boom-boot,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
booth,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
botan2,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
breezy,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
bsf,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
buildah,Akarsh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
bwidget,Akarsh,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
cachefilesd,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
cairomm,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
capstone,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
cassandra,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
catatonit,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
cdparanoia,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,N,N,Y,N
cdrdao,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
celt051,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
certmonger,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
cfitsio,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
cgdcbxd,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
cglib,Akarsh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
chan,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
cim-schema,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
cjkuni-uming-fonts,Archana,N,Y,Y,Y,Y,N,N,Since the package is inactive upstream we won't upgrade it,P1,NA,N,Y,Y,Y,N
cjose,Archana,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
cldr-emoji-annotation,Akarsh,,Y,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
clucene,Sumit,Override_to_Y,N,N,Y,Y,N,N,clucene wasn't building.  Fixed it's build.,P1,NA,N,Y,Y,Y,N
clutter,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
clutter-gst3,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
clutter-gtk,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
cmake-fedora,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
cogl,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
colorize,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
compat-lua,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
console-setup,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
container-exception-logger,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
containernetworking-plugins,Archana,,N,N,Y,Y,N,N,,CP_batch2,NA,N,Y,Y,Y,N
convmv,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
corosync,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
corosync-qdevice,Akhila,,N,N,Y,Y,N,N,,New P0,NA,N,Y,Y,Y,N
cppcheck,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
cpptest,Archana,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
cpuid,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
crash-ptdump-command,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
criu,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
crypto-policies,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
cscope,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
custodia,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
dbus-c++,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,N
dbxtool,Akhila,,N,N,Y,Y,N,N,,CP_batch1,fwupd,N,Decide_Rev_VerComp,Y_DECIDED_REPLACE,Y,N
dcraw,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
deltarpm,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
delve,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
device-mapper-persistent-data,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
diffstat,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
discount,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
distribution-gpg-keys,Kevin,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
dleyna-connector-dbus,Sreenivasulu,,N,N,Y,Y,N,N,,P1,dleyna,N,Y,Y,Y,N
dleyna-core,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
dmraid,Akhila,,N,N,Y,Y,N,N,,P1,NA,N,Decide_Rev_VerComp,N_DECIDED,Y,N
docbook-simple,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
docbook-slides,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
docbook-utils,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
docbook5-style-xsl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
dogtail,Sumit,,Y,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
dotconf,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
dovecot,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
dpkg,Sumit,To be removed,Y,Y,Y,Y,N,N,This package was removed after discussion.  Reason:  It is no longer in required.,P1,NA,N,Y,DECIDED_REMOVE,Y,N
driverctl,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,Y
dropwatch,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
drpm,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
dumpet,Sumit,,Y,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
dvd+rw-tools,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
dyninst,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
ecj,Sumit,Y,Y,Y,Y,Y,N,N,"proceeding with upgrade to version 4.23 as version 4.33, from the upstream doesn't have a release candidate yet",P1,NA,N,Y,Y,Y,N
edac-utils,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
efax,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Decide_Rev_VerComp,N_DECIDED,Y,N
efi-rpm-macros,Sumit,Y,Y,Y,Y,Y,N,N,proceeding with upgrade to version 5 as version 6 from the upstream doesn't have a release candidate yet,CP_batch1,NA,N,Y,Y,Y,N
egl-wayland,Sumit,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
eglexternalplatform,Sumit,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
elinks,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
enca,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
enchant,Sumit,,Y,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
enscript,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
evemu,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
exempi,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
exiv2,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fabtests,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
facter,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fakechroot,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
fapolicyd,Jyoti,,N,N,N,N,Y,N,,P1,NA,N,Y_Reintroduce,Y,Y,N
fdk-aac-free,Jyoti,,Y,N,Y,Y,N,N,Which upstream to use.  There are multiple upstreams.,P1,NA,N,N,N,Y,N
fence-virt,Jyoti,,N,N,Y,Y,N,N,,P1,fence-agents,N,Y,Y,Y,N
fetchmail,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fftw,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
filebench,Jyoti,N,Y,Y,Y,Y,N,N,"The confirmation taken was that the alpha version ""1.5-alpha3"" available on the upstream ""https://sourceforge.net/projects/filebench/files/1.5-alpha3/filebench-1.5-alpha3.tar.gz/download"" will not be considered because it is not a GA.  We will stick to the latest GA version available upstream, which being ""1.4.9.1"" is the same as the 3.0-dev version.  Therefore, no upgrade is required.",CP_batch1,NA,N,N,N,Y,N
fipscheck,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,libkcapi,N,DECIDED_REMOVE,DECIDED_REMOVE,Y,N
flac,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
flite,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fltk,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fonts-rpm-macros,Jyoti,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
foomatic-db,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
freeglut,Jyoti,,N,N,Y,N,N,Y,,P1,NA,N,N_NoBldVer_and_MovedToCore,N,N,N
freeradius,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
freexl,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fros,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
fstrm,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
fuse-overlayfs,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fuse-sshfs,Jyoti,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
fxload,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gavl,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gconf-editor,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gcr,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gdal,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gdisk,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
generic-logos,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
genwqe-tools,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
geoclue2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
geolite2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
geronimo-specs,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
ghc-srpm-macros,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,DECIDED_REMOVE,Y,N
gl-manpages,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch2,NA,N,N,N,Y,Y
glassfish-annotation-api,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
glew,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
glm,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gnome-desktop-testing,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gnome-doc-utils,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gnome-icon-theme,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gnome-keyring,Archana,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gnu-getopt,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
gnu-regexp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N_DNLD_fail_Chk_Build,N,Y,N
go-rpm-macros,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
gom,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
google-api-python-client,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
google-crosextra-caladea-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
google-crosextra-carlito-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
google-noto-cjk-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,google-noto-sans-cjk-vf-fonts,N,Decide_Rev_VerComp,N_DECIDED,Y,N
google-noto-emoji-fonts,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gphoto2,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Oct 2021,P1,NA,N,Y,Y,Y,N
gpm,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gpsbabel,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
graphene,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Mar 2022,P1,NA,N,Y,Y,Y,N
graphite2,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gsl,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gspell,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gssdp,Kevin,Y,Y,Y,Y,Y,N,N,Last patched in Jan 2023,P1,NA,N,Y,Y,Y,N
gssntlmssp,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gstreamer1,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gstreamer1-plugins-base,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gtk-vnc,Kevin,Y,Y,Y,Y,Y,N,N,Last imported in Mar 2023,P1,NA,N,Y,Y,Y,N
gtkspell,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
guava20,Kevin,To be removed,Y,Y,Y,Y,N,N,Remove guava20.  Note that guava is available in core (SPECS) at version 33.0.0-1.,CP_batch1,NA,N,PR_Created_NODNLDVER,Y,Y,N
gupnp,Kevin,Y,Y,Y,Y,Y,N,N,Last imported in Feb 2023,P1,NA,N,Y,Y,Y,N
gupnp-av,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
gupnp-dlna,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
gupnp-igd,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hawtjni-runtime,Kevin,Y,Y,Y,Y,Y,N,N,Last work Oct 2021,P1,hawtjni,N,Y,Y,Y,N
hdf,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA,N,Y,Y,Y,N
highlight,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hping3,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hsakmt,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
httpcomponents-core,Kevin,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hunspell-af,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ar,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-as,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ast,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-az,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-be,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-bg,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-bn,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-br,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ca,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-cop,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-csb,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-cv,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-cy,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-da,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-de,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Decide_Rev_VerComp,Y,Y,N
hunspell-dsb,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-el,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-eo,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-es,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-et,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-eu,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-fa,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-fj,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-fo,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-fr,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-fur,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-fy,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ga,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-gd,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-gl,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-grc,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-gu,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-gv,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-haw,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-hi,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-hil,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-hr,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-hsb,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ht,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-hu,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-hy,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ia,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-id,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-is,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-it,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-kk,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-km,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-kn,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ko,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ku,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ky,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-la,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-lb,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ln,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mai,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mg,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mi,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mk,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ml,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mn,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mos,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mr,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-ms,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-mt,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-nds,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ne,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-nl,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-no,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-nr,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-nso,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ny,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-om,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-or,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-pa,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-pl,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-pt,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-quh,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ro,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N,Y,Y,Y,N
hunspell-ru,Sumit,,N,N,Y,Y,N,N,,P1,NA,N,Decide_Rev_VerComp,N_DECIDED,Y,N
hunspell-rw,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-se,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-shs,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-si,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-sk,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-sl,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-smj,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-so,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-sq,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-sr,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-sv,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-sw,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ta,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-te,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-tet,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-th,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-tk,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-tl,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-tn,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-tpi,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ts,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-uk,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-uz,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-ve,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-vi,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-wa,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-xh,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hunspell-yi,,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-as,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-bg,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-bn,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-ca,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,Y,Y,Y,N
hyphen-da,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-de,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-el,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,N
hyphen-es,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA,N,N,N,Y,Y
