S.No.,Package Name,Need Upgrade (Y/N/Revisit/Remove),Upgrade to version (Version/Revisit/NA),"Priority (P0, P1, P3)",Evaluator,"Status (Not Started, Ongoing, PR Raised, PR in Review, Done-Upgrade, Done-FixBuild, Done-OtherChanges, NA-Uptodate)",Obsoleted and Frozen PR Link,Start Date,End Date,Last activity date,3.0-dev Daily Build status   (Y/N),Build status date,Version in 2.0,Version in 3.0,Latest Version  (Fedora Sources),Fedora Sources Link,Latest Upstream Version,Upstream Sources Link,Remark / Plan for the package,PR Link
40,intel-cmt-cat,Y,24.05,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11001,2024-11-11 0:00:00,2024-11-11 0:00:00,2024-11-11 0:00:00,Y,2024-10-16 0:00:00,4.1.0,4.1.0,24.05,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495286,24.05,https://github.com/intel/intel-cmt-cat,,https://github.com/microsoft/azurelinux/pull/11001
41,ioping,Y,1.3,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11003,2024-11-11 0:00:00,2024-11-11 0:00:00,2024-11-11 0:00:00,Y,2024-10-16 0:00:00,1.1,1.1,1.3,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495325,1.3,https://github.com/koct9i/ioping,,https://github.com/microsoft/azurelinux/pull/11003
42,ipa-pgothic-fonts,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,N,2024-10-16 0:00:00,3.03,3.03,3.03,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495316,3.03,http://ossipedia.ipa.go.jp/ipafont/,No Upgrade needed,
43,ipcalc,Y,1.0.3,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11004,2024-11-11 0:00:00,2024-11-11 0:00:00,2024-11-11 0:00:00,Y,2024-10-16 0:00:00,0.4.1,0.4.1,1.0.3,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495324,1.0.3,https://gitlab.com/ipcalc/ipcalc,,https://github.com/microsoft/azurelinux/pull/11004
44,iprutils,Y,2.4.19,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11008,2024-11-11 0:00:00,2024-11-11 0:00:00,2024-11-11 0:00:00,Y,2024-10-16 0:00:00,2.4.17.1,2.4.17.1,2.4.19,https://koji.fedoraproject.org/koji/buildinfo?buildID=2521726,2.4.19,https://github.com/bjking1/iprutils,,https://github.com/microsoft/azurelinux/pull/11008
45,iptstate,N,NA,,Sumit,NA-Uptodate,,,,2024-10-16 0:00:00,Y,2024-10-16 0:00:00,2.2.7,2.2.7,2.2.7,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495334,2.2.7,https://github.com/jaymzh/iptstate/,No Upgrade needed,
46,irssi,Y,1.4.5,,Sumit,Not Started,https://github.com/microsoft/azurelinux/pull/11211,2024-11-24 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,Y,2024-10-16 0:00:00,1.2.2,1.2.2,1.4.5,https://koji.fedoraproject.org/koji/buildinfo?buildID=2495343,1.4.5,https://irssi.org/,,
47,libotr,N,,,Sumit,NA-Uptodate-FixBuild,https://github.com/microsoft/azurelinux/pull/11207,2024-11-24 0:00:00,2024-11-25 0:00:00,2024-11-25 0:00:00,Y,2024-10-24 0:00:00,4.1.1,4.1.1,4.1.1,https://koji.fedoraproject.org/koji/buildinfo?buildID=2496908,4.1.1,https://otr.cypherpunks.ca/,,https://github.com/microsoft/azurelinux/pull/11207
48,libpinyin,Y,2.9.92,,Sumit,PR Raised,https://github.com/microsoft/azurelinux/pull/11014,2024-11-11 0:00:00,2024-11-11 0:00:00,2024-11-12 0:00:00,Y,2024-10-24 0:00:00,2.3.0,2.3.0,2.9.92,https://koji.fedoraproject.org/koji/buildinfo?buildID=2572036,2.9.92,https://github.com/libpinyin/libpinyin,The version in the upstream is a pre release but added to fedora. The stable version available in the upstream is 2.8.1,
49,libpmemobj-cpp,Revisit,Revisit,,Sumit,Not Started,,,,,Y,2024-10-24 0:00:00,1.9,1.9,-,-,1.13.0,https://github.com/pmem/libpmemobj-cpp,"Need to discuss as the package as been orphaned by fedora. The last running version over fedora is same as the last release over the upstream.
Should we upgrade to the latest fedora version or remove the package?",
