Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
hunspell-vi,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-wa,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-xh,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-yi,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hyphen,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-as,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-bg,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-bn,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ca,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-da,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-de,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-el,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-es,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-fa,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-fo,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-fr,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ga,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-gl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-grc,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-gu,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-hi,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-hsb,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-hu,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ia,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-id,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-is,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-it,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-kn,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ku,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-lt,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-mi,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ml,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-mn,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-mr,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-nl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-or,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-pa,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-pl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-pt,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ro,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ru,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-sa,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-sk,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-sl,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-sv,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-ta,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-te,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-tk,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
hyphen-uk,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
ibus,Sumit,,Y,Y,Y,Y,N,N,It was decided that the latest upstream version 1.5.31-beta2 as seen in Fedora sources will be what we upgrade to.,P1,NA
ibus-chewing,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-hangul,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-kkc,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-libzhuyin,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-m17n,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-rawcode,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-sayura,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-table,Sumit,,N,N,Y,Y,N,N,,P1,NA
ibus-table-chinese,Sumit,,N,N,Y,Y,N,N,,P1,NA
icc-profiles-openicc,Sumit,,N,N,Y,Y,N,N,,P1,NA
icon-naming-utils,Sumit,,N,N,Y,Y,N,N,,P1,NA
iftop,Sumit,,N,N,Y,Y,N,N,,P1,NA
iio-sensor-proxy,Sumit,,N,N,Y,Y,N,N,,P1,NA
ilmbase,Sumit,,Y,N,Y,Y,N,N,,P1,NA
imaptest,Sumit,,N,N,Y,Y,N,N,,P1,NA
indent,Sumit,,N,N,Y,Y,N,N,,P1,NA
iniparser,Sumit,,N,N,Y,N,N,Y,,P1,NA
intel-cmt-cat,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
ioping,Sumit,,N,N,Y,Y,N,N,,P1,NA
ipa-pgothic-fonts,Sumit,,N,N,Y,Y,N,N,,P1,NA
ipcalc,Sumit,,N,N,Y,Y,N,N,,P1,NA
iprutils,Sumit,,N,N,Y,Y,N,N,,P1,NA
iptstate,Sumit,,N,N,Y,Y,N,N,,P1,NA
irssi,Sumit,,N,N,Y,Y,N,N,,P1,NA
iso-codes,Akarsh,,N,N,Y,Y,N,N,,P1,NA
isomd5sum,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
iwd,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
jabberpy,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jakarta-taglibs-standard,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jansi,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jarjar,Akarsh,,N,N,Y,Y,N,N,,P1,NA
javacc,Akarsh,,N,N,Y,Y,N,N,,P1,NA
javacc-bootstrap,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jbigkit,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jboss-interceptors,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jdepend,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jdom2,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jfsutils,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jimtcl,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jlex,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
jline,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jose,Akarsh,,N,N,Y,Y,N,N,,P0,NA
js-jquery,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jsch,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jsoncpp,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
jsoup,Akarsh,,N,N,Y,Y,N,N,,P1,NA
jtidy,Akarsh,,N,N,Y,Y,N,N,,P1,NA
junitperf,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
jzlib,Akarsh,,N,N,Y,Y,N,N,,P1,NA
kde-filesystem,Aninda,,N,N,Y,Y,N,N,,P0,NA
kernel-rt,Aninda,,N,N,Y,Y,N,N,,P1,NA
keybinder3,Aninda,,N,N,Y,Y,N,N,,P1,NA
keycloak-httpd-client-install,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
kronosnet,Aninda,,N,N,Y,Y,N,N,,P1,NA
kyotocabinet,Aninda,,N,N,Y,Y,N,N,,P1,NA
ladspa,Aninda,,N,N,Y,Y,N,N,,P1,NA
lame,Aninda,,N,N,Y,Y,N,N,,P1,NA
langtable,Aninda,,N,N,Y,Y,N,N,,P1,NA
lasso,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
latencytop,Aninda,,N,N,Y,Y,N,N,,P1,NA
lcov,Aninda,,N,N,Y,Y,N,N,,P1,NA
ledmon,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
lensfun,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
lftp,Aninda,,N,N,Y,Y,N,N,,P1,NA
libEMF,Aninda,,N,N,Y,Y,N,N,,P1,NA
libIDL,Aninda,,N,N,Y,Y,N,N,,P1,NA
libXScrnSaver,Aninda,,N,N,Y,Y,N,N,,P0,NA
libXres,Aninda,,N,N,Y,N,N,Y,,P1,NA
libXv,Aninda,,N,N,Y,N,N,Y,,P1,NA
libabw,Aninda,,N,N,Y,Y,N,N,,P1,NA
libao,Aninda,,N,N,Y,Y,N,N,,P1,NA
libappstream-glib,Aninda,,N,N,Y,Y,N,N,,P1,NA
libart_lgpl,Aninda,,N,N,Y,Y,N,N,,P1,NA
libasyncns,Aninda,,N,N,Y,Y,N,N,,P1,NA
libavc1394,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libblockdev,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libbsd,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libbytesize,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcanberra,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcdio,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcdio-paranoia,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcdr,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libchewing,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcli,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcmis,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcmpiutil,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libcroco,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdap,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdatrie,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdazzle,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdbi,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdbi-drivers,Jyoti,,N,N,N,N,Y,N,,P1,NA
libdbusmenu,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdc1394,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdeflate,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdmx,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdvdnav,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libdvdread,Jyoti,,N,N,Y,Y,N,N,,P1,NA
libeasyfc,Jyoti,,N,N,Y,Y,N,N,,P0,NA
libecap,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libecb,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libeot,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libepubgen,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libesmtp,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libetonyek,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libexttextcat,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libfreehand,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libftdi,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA
libgadu,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgdither,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgee,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgee06,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgeotiff,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgexiv2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgit2-glib,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libglade2,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgovirt,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgphoto2,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
libgsf,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgta,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libgxps,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libhangul,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libibcommon,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libicns,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libid3tag,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
libidn2,Kevin,,N,N,Y,N,N,Y,,P1,NA
libiec61883,Kevin,,N,N,Y,Y,N,N,,P1,NA
libieee1284,Kevin,,N,N,Y,Y,N,N,,P1,NA
libimobiledevice,Kevin,,N,N,Y,Y,N,N,,P1,NA
libindicator,Kevin,,N,N,Y,Y,N,N,,P1,NA
libiodbc,Kevin,,N,N,Y,Y,N,N,,P1,NA
libipt,Kevin,,N,N,Y,Y,N,N,,CP_batch1,NA
libiptcdata,Kevin,,N,N,Y,Y,N,N,,P1,NA
libjcat,Kevin,,N,N,Y,Y,N,N,,P1,NA
libkeepalive,Kevin,,N,N,Y,Y,N,N,,P1,NA
libkkc,Kevin,,N,N,Y,Y,N,N,,P1,NA
libkkc-data,Kevin,,N,N,Y,Y,N,N,,P1,NA
libkml,Kevin,,N,N,Y,Y,N,N,,P1,NA
liblangtag,Kevin,,N,N,Y,Y,N,N,,P1,NA
libldb,Kevin,,N,N,Y,Y,N,N,,P1,NA
liblerc,Kevin,,N,N,Y,Y,N,N,,P1,NA
liblockfile,Kevin,,N,N,Y,Y,N,N,,P1,NA
liblouis,Kevin,,N,N,Y,Y,N,N,,P1,NA
liblqr-1,Kevin,,N,N,Y,Y,N,N,,P1,NA
libmad,Kevin,,N,N,Y,Y,N,N,,P1,NA
libmediaart,Kevin,,N,N,Y,Y,N,N,,P1,NA
libmicrohttpd,Kevin,,N,N,Y,N,N,Y,,P1,NA
libmikmod,Kevin,,N,N,Y,Y,N,N,,P1,NA
libmodman,Kevin,,N,N,Y,Y,N,N,,P1,NA
libmodplug,Kevin,,N,N,Y,Y,N,N,,P1,NA
libmodulemd1,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libmpcdec,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libmspub,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libmtp,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libmusicbrainz5,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libmwaw,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libnet,Archana,,N,N,Y,Y,N,N,,P1,NA
libntlm,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libnumbertext,Akarsh,,N,N,Y,Y,N,N,,P1,NA
liboauth,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libodfgen,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libofa,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libogg,Akarsh,,N,N,Y,Y,N,N,,P1,NA
liboggz,Akarsh,,N,N,Y,Y,N,N,,P1,NA
liboil,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libomxil-bellagio,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libopenraw,Akarsh,,N,N,Y,Y,N,N,,P1,NA
liboping,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libosinfo,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libotf,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libotr,Sumit,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
libpagemaker,Akarsh,,N,N,Y,Y,N,N,,P1,NA
libpaper,Akarsh,,N,N,Y,Y,N,N,,P0,NA
libpeas,Archana,,N,N,Y,Y,N,N,,P1,NA
libpfm,Akarsh,,N,N,Y,Y,N,N,,P0,NA
libpinyin,Sumit,,Y,Y,Y,Y,N,N,It was decided that the prelease version 2.9.92 available in Fedora sources will prevail over the last stable version 2.8.1,P1,NA
libplist,Kevin,Y,N,N,Y,Y,N,N,"Instead of Sumit, Kevin picked it up first.",CP_batch1,NA
libpmemobj-cpp,Sumit,,Y,N,Y,Y,N,N,,P1,NA
libpng12,Sumit,,N,N,Y,Y,N,N,,P1,NA
libpng15,Sumit,,N,N,Y,Y,N,N,,P1,NA
libproxy,Sumit,,N,N,Y,Y,N,N,,P1,NA
libqb,Sumit,,N,N,Y,Y,N,N,,P1,NA
libqxp,Sumit,,N,N,Y,Y,N,N,,P1,NA
librabbitmq,Sumit,,N,N,Y,Y,N,N,,P1,NA
libraqm,Sumit,,N,N,Y,Y,N,N,,P1,NA
libraw1394,Sumit,,N,N,Y,Y,N,N,,P1,NA
libreport,Sumit,,N,N,Y,Y,N,N,,P1,NA
librevenge,Sumit,,N,N,Y,Y,N,N,,P1,NA
librx,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
libsamplerate,Sumit,,N,N,Y,Y,N,N,,P1,NA
libsass,Sumit,,N,N,Y,Y,N,N,,P1,NA
libsecret,Sumit,,N,N,Y,Y,N,N,,P1,NA
libsigc++20,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA
libsigsegv,Sumit,,N,N,Y,Y,N,N,,P1,NA
libsmbios,Sumit,,N,N,Y,Y,N,N,,P1,NA
libspiro,Sumit,Override_to_Y,N,N,Y,Y,N,N,,P1,NA
libsrtp,Sumit,,N,N,Y,Y,N,N,,P1,NA
libstaroffice,Sumit,,N,N,Y,Y,N,N,,P1,NA
libstemmer,Sumit,,Y,N,Y,Y,N,N,,P1,snowball
libtdb,Sumit,,N,N,Y,Y,N,N,,P1,NA
libteam,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libtevent,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA
libthai,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libtheora,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libtnc,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA
libtomcrypt,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libtommath,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libtranslit,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libucil,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libunicap,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libuninameslist,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libusbmuxd,Kevin,Y,N,N,Y,Y,N,N,Kevin has picked up the upgrade of this package as on 30 Oct 2024.,P1,NA
libuser,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA
libutempter,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libva,Sreenivasulu,,N,N,Y,N,N,Y,,P1,NA
libvarlink,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libvdpau,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libverto,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libvisio,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libvisual,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libvorbis,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libvpx,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libwnck3,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libwpd,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libwpe,Sreenivasulu,,N,N,Y,Y,N,N,,P1,NA
libwpg,Aninda,,N,N,Y,Y,N,N,,P1,NA
libwps,Aninda,,N,N,Y,Y,N,N,,P1,NA
libwvstreams,Aninda,,N,N,Y,Y,N,N,,P1,NA
libxklavier,Aninda,,N,N,Y,Y,N,N,,P1,NA
libxmlb,Aninda,,N,N,Y,Y,N,N,,P1,NA
libyami,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
libyubikey,Aninda,,N,N,Y,Y,N,N,,P1,NA
libzmf,Aninda,,N,N,Y,Y,N,N,,P1,NA
lilv,Aninda,,N,N,Y,Y,N,N,,P1,NA
linuxconsoletools,Aninda,,N,N,Y,Y,N,N,,P1,NA
lksctp-tools,Aninda,,N,N,Y,Y,N,N,,P0,NA
lockdev,Aninda,,N,N,Y,Y,N,N,,P1,NA
logwatch,Aninda,,N,N,Y,Y,N,N,,P1,NA
lpsolve,Aninda,,N,N,Y,Y,N,N,,P0,NA
lrzsz,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA
lua-expat,Aninda,,N,N,Y,Y,N,N,,P1,NA
lua-filesystem,Aninda,,N,N,Y,Y,N,N,,P1,NA
lua-json,Aninda,,N,N,Y,Y,N,N,,P1,NA
lua-lpeg,Aninda,,N,N,Y,Y,N,N,,P1,NA
lua-lunit,Aninda,,N,N,Y,Y,N,N,,P1,lua-lunitx
lua-term,Aninda,,N,N,Y,Y,N,N,,P1,NA
luksmeta,Aninda,,N,N,Y,Y,N,N,,P1,NA
lv2,Aninda,,N,N,Y,Y,N,N,,P1,NA
lzip,Aninda,,N,N,Y,Y,N,N,,P1,NA
m17n-db,Aninda,,N,N,Y,Y,N,N,,P0,NA
m17n-lib,Aninda,,N,N,Y,Y,N,N,,P1,NA
mailx,Neeraj,,N,N,Y,Y,N,N,,P1,s-nail
mallard-rng,Archana,,N,N,Y,Y,N,N,,P1,NA
man-pages-cs,Neeraj,,N,N,Y,Y,N,N,,P1,man-pages-l10n
man-pages-es,Neeraj,,N,N,Y,Y,N,N,,P1,man-pages-l10n
man-pages-it,Neeraj,,N,N,Y,Y,N,N,,P1,man-pages-l10n
man-pages-ja,Aninda,,N,N,Y,Y,N,N,,P0,NA
man-pages-ko,Neeraj,,N,N,Y,Y,N,N,,P1,man-pages-l10n
man-pages-pl,Neeraj,,N,N,Y,Y,N,N,,P1,man-pages-l10n
man-pages-ru,Neeraj,,N,N,Y,Y,N,N,,P1,man-pages-l10n
man-pages-zh-CN,Neeraj,,N,N,Y,Y,N,N,,P1,NA
mariadb-connector-odbc,Aninda,,N,N,Y,Y,N,N,,P0,NA
marisa,Jagadeesh,,N,N,Y,Y,N,N,,P1,NA
maven-parent,Archana,,N,N,Y,Y,N,N,,P1,NA
mcelog,Aninda,,N,N,Y,Y,N,N,,P0,NA
mdds,Aninda,,N,N,Y,Y,N,N,,P0,NA
meanwhile,Aninda,,N,N,Y,Y,N,N,,P0,NA
mecab,Archana,,N,N,Y,Y,N,N,,P1,NA
mecab-ipadic,Archana,,N,N,Y,Y,N,N,,P1,NA
media-player-info,Archana,,N,N,Y,Y,N,N,,P1,NA
memkind,Akhila,,N,N,Y,Y,N,N,,New P0,NA
metis,Aninda,,N,N,Y,Y,N,N,,P0,NA
microcode_ctl,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA
microdnf,Archana,,N,N,Y,Y,N,N,,P1,NA
minicom,Akhila,,N,N,Y,Y,N,N,,New P0,NA
minizip,Archana,,N,N,Y,Y,N,N,,P1,minizip-ng
mksh,,,N,N,Y,Y,N,N,,,NA
mobile-broadband-provider-info,Aninda,,N,N,Y,Y,N,N,,P0,NA
mock,Akarsh,,N,N,Y,N,N,Y,,P1,NA
mock-core-configs,Akarsh,,N,N,Y,N,N,Y,,P1,NA
mod_auth_gssapi,Akarsh,,N,N,Y,Y,N,N,,P1,NA
mod_auth_mellon,Akarsh,,N,N,Y,Y,N,N,,P1,NA
mod_auth_openidc,Aninda,,N,N,Y,Y,N,N,,P0,NA
mod_authnz_pam,Aninda,,N,N,Y,Y,N,N,,P0,NA
mod_fcgid,,,N,N,Y,Y,N,N,,,NA
mod_http2,Akhila,,N,N,Y,Y,N,N,,New P0,NA
mod_intercept_form_submit,Aninda,,N,N,Y,Y,N,N,,P0,NA
mod_lookup_identity,,,N,N,Y,Y,N,N,,,NA
mod_md,Aninda,,N,N,Y,Y,N,N,,P0,NA
mod_security,Aninda,,N,N,Y,Y,N,N,,P0,NA
mod_security_crs,Aninda,,N,N,Y,Y,N,N,,P0,NA
mod_wsgi,Akarsh,,N,N,Y,Y,N,N,,P1,NA
mosh,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
mpage,,,N,N,Y,Y,N,N,,,NA
mrtg,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
mt-st,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
mtr,Akarsh,,N,N,Y,N,N,Y,,P1,NA
mtx,,,N,N,Y,Y,N,N,,,NA
mutt,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA
mythes,Aninda,,N,N,Y,Y,N,N,,P0,NA
mythes-bg,,,N,N,Y,Y,N,N,,,NA
mythes-ca,Aninda,,N,N,Y,Y,N,N,,P0,NA
mythes-cs,,,N,N,Y,Y,N,N,,,NA
mythes-da,,,N,N,Y,Y,N,N,,,NA
mythes-de,Aninda,,N,N,Y,Y,N,N,,P0,NA
mythes-el,,,N,N,Y,Y,N,N,,,NA
mythes-en,Aninda,,N,N,Y,Y,N,N,,P1,NA
mythes-eo,,,N,N,Y,Y,N,N,,,NA
mythes-es,,,N,N,Y,Y,N,N,,,NA
mythes-fr,,,N,N,Y,Y,N,N,,,NA
mythes-ga,,,N,N,Y,Y,N,N,,,NA
mythes-hu,,,N,N,Y,Y,N,N,,,NA
mythes-mi,,,N,N,Y,Y,N,N,,,NA
mythes-ne,,,N,N,Y,Y,N,N,,,NA
mythes-nl,,,N,N,Y,Y,N,N,,,NA
mythes-pl,,,N,N,Y,Y,N,N,,,NA
mythes-pt,,,N,N,Y,Y,N,N,,,NA
mythes-ro,,,N,N,Y,Y,N,N,,,NA
mythes-ru,,,N,N,Y,Y,N,N,,,NA
mythes-sk,,,N,N,Y,Y,N,N,,,NA
mythes-sl,,,N,N,Y,Y,N,N,,,NA
mythes-sv,,,N,N,Y,Y,N,N,,,NA
mythes-uk,,,N,N,Y,Y,N,N,,,NA
neon,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
netcdf,Aninda,,N,N,Y,Y,N,N,,P1,NA
netcf,,,N,N,Y,Y,N,N,,,NA
netlabel_tools,,,N,N,Y,Y,N,N,,,NA
netpbm,Aninda,,N,N,Y,Y,N,N,,P1,NA
netsniff-ng,Aninda,,N,N,Y,Y,N,N,,P1,NA
nilfs-utils,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
nkf,,,N,N,Y,Y,N,N,,,NA
nload,,,N,N,Y,Y,N,N,,,NA
nmi,Aninda,,N,N,N,N,Y,N,,P1,NA
nodejs-nodemon,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
nodejs-packaging,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
nss-mdns,Aninda,,N,N,Y,N,N,Y,,P1,NA
nss-pam-ldapd,,,N,N,Y,Y,N,N,,,NA
numatop,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
nvmetcli,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
objectweb-anttask,Aninda,,N,N,Y,Y,N,N,,P1,NA
objenesis,Aninda,,N,N,Y,Y,N,N,,P1,NA
ocaml-calendar,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-camlp5,Aninda,,N,N,Y,Y,N,N,,P1,NA
ocaml-csv,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
ocaml-curses,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA
