S.No.,Package Name,Dev,PR Link,Reviewer,Status,
1,CharLS,Jyoti,,Falak,,
2,GConf2,Jyoti,,,,
3,GeoIP,Jyoti,,,,
4,GeoIP-GeoLite-data,Jyoti,,,,
5,Judy,Jyoti,,,,
6,LibRaw,Jyoti,https://github.com/microsoft/azurelinux/pull/10618,Falak,,
7,ORBit2,Jyoti,,,,
8,OpenEXR,Jyoti,,,,
9,PEGTL,Jyoti,https://github.com/microsoft/azurelinux/pull/10695,Falak,,
10,PyGreSQL,Jyoti,,Falak,,
11,SDL,Jyoti,,,,
12,SDL2,Jyoti,,,,
13,SDL_sound,Jyoti,,,,
14,SuperLU,Jyoti,,Suresh,Dev Approved,
15,Xaw3d,Jyoti,https://github.com/microsoft/azurelinux/pull/10762,Bala,Dev Approved,
16,a52dec,Jyoti,,,,
17,accountsservice,Jyoti,https://github.com/microsoft/azurelinux/pull/10766,Bala,Dev Approved,
18,acpid,Jyoti,https://github.com/microsoft/azurelinux/pull/10696,Suresh,Dev Approved,
19,adcli,Jyoti,,,,
20,adobe-mappings-cmap,Jyoti,https://github.com/microsoft/azurelinux/pull/10765,Bala,Dev Approved,
21,adobe-mappings-pdf,Jyoti,https://github.com/microsoft/azurelinux/pull/10792,Bala,Dev Approved,
22,advancecomp,Jagadeesh,,Falak,,
23,alsa-firmware,Jagadeesh,,,,
24,alsa-plugins,Jagadeesh,,,,
25,amtk,Jagadeesh,,,,
26,amtterm,Jagadeesh,,,,
27,annobin,Jagadeesh,,,,
28,ansible-freeipa,Jagadeesh,,,,
29,aopalliance,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10671,Falak,,
30,apache-commons-beanutils,Jagadeesh,,,,
31,apache-commons-codec,Jagadeesh,,,,
32,apache-commons-collections,Jagadeesh,,,,
33,apache-commons-collections4,Jagadeesh,,,,
34,apache-commons-compress,Jagadeesh,,,,
35,apache-commons-daemon,Jagadeesh,,,,
36,apache-commons-dbcp,Jagadeesh,,,,
37,apache-commons-digester,Jagadeesh,,,,
38,apache-commons-httpclient,Jagadeesh,,,,
39,apache-commons-io,Jagadeesh,,,,
40,apache-commons-jexl,Jagadeesh,,,,
41,apache-commons-lang,Jagadeesh,,,,
42,apache-commons-net,Jagadeesh,,,,
43,apache-commons-pool,Jagadeesh,,,,
44,apache-commons-pool2,Jagadeesh,,,,
45,apache-commons-validator,Jagadeesh,,,,
46,apache-commons-vfs2,Jagadeesh,,,,
47,apache-parent,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11281,,,
48,argparse-manpage,Kevin,,,,
49,args4j,Kevin,,,,
50,arptables,Kevin,,,,
51,arpwatch,Kevin,,,,
52,asio,Kevin,https://github.com/microsoft/azurelinux/pull/10678,Bala,Dev Approved,
53,aspell-en,Kevin,,,,
54,audiofile,Kevin,,,,
55,authselect,Kevin,https://github.com/microsoft/azurelinux/pull/11575,,,
56,babeltrace,Kevin,https://github.com/microsoft/azurelinux/pull/10590,Falak,In Review,
57,babl,Kevin,https://github.com/microsoft/azurelinux/pull/11132,,,
58,baekmuk-ttf-fonts,Kevin,,,,
59,base64coder,Kevin,,,,
60,bats,Kevin,https://github.com/microsoft/azurelinux/pull/10692,Bala,In Review,
61,bcache-tools,Kevin,,,,
62,bcel,Kevin,,,,
63,bea-stax,Kevin,,,,
64,beust-jcommander,Kevin,https://github.com/microsoft/azurelinux/pull/10630,,,
65,biosdevname,Kevin,,,,
66,blosc,Kevin,https://github.com/microsoft/azurelinux/pull/11172,,,
67,bogofilter,Kevin,,,,
68,bolt,Akarsh,https://github.com/microsoft/azurelinux/pull/11208,Suresh,Dev Approved,
69,boom-boot,Akarsh,https://github.com/microsoft/azurelinux/pull/10919,,,
70,booth,Akarsh,,,,
71,botan2,Akarsh,,,,
72,breezy,Akarsh,,,,
73,bsf,Akarsh,,,,
74,buildah,Akarsh,,,,
75,bwidget,Akarsh,https://github.com/microsoft/azurelinux/pull/11050,,,
76,cachefilesd,Akarsh,,,,
77,cairomm,Akarsh,,,,
78,capstone,Akarsh,,,,
79,cassandra,Akarsh,,,,
80,catatonit,Akarsh,,,,
81,cdparanoia,Akarsh,,,,
82,cdrdao,Akarsh,,,,
83,celt051,Akarsh,,,,
84,certmonger,Akarsh,,,,
85,cfitsio,Akarsh,https://github.com/microsoft/azurelinux/pull/11252,,,
86,cgdcbxd,Akarsh,,,,
87,cglib,Akarsh,,,,
88,chan,Neeraj,,,,
89,cim-schema,Akarsh,https://github.com/microsoft/azurelinux/pull/11486,,,
90,cjkuni-uming-fonts,Neeraj,,,,
91,cjose,Akarsh,https://github.com/microsoft/azurelinux/pull/11488,,,
92,cldr-emoji-annotation,Akarsh,https://github.com/microsoft/azurelinux/pull/11587,,,
93,clucene,Sumit,https://github.com/microsoft/azurelinux/pull/10858,,,
94,clutter,Neeraj,,,,
95,clutter-gst3,Neeraj,,,,
96,clutter-gtk,Neeraj,,,,
97,cmake-fedora,Jyoti,,,,
98,cogl,Neeraj,,,,
99,colorize,Neeraj,,,,
100,compat-lua,Neeraj,,,,
101,console-setup,Akarsh,https://github.com/microsoft/azurelinux/pull/11489,,,
102,container-exception-logger,Neeraj,,,,
103,containernetworking-plugins,Neeraj,,,,
104,convmv,Neeraj,,,,
105,corosync,Neeraj,,,,
106,corosync-qdevice,Neeraj,,,,
107,cppcheck,Neeraj,,,,
108,cpptest,Neeraj,,,,
109,cpuid,Akarsh,https://github.com/microsoft/azurelinux/pull/11491,,,
110,crash-ptdump-command,Sreenivasulu,,,,
111,criu,Sreenivasulu,,,,
112,crypto-policies,Sreenivasulu,,,,
113,cscope,Sreenivasulu,,,,
114,custodia,Sreenivasulu,,,,
115,dbus-c++,Sreenivasulu,,,,
116,dbxtool,Sreenivasulu,,,,
117,dcraw,Sreenivasulu,,,,
118,deltarpm,Sreenivasulu,https://github.com/microsoft/azurelinux/pull/10922,,,
119,delve,Sreenivasulu,,,,
120,device-mapper-persistent-data,Sreenivasulu,,,,
